company_id,company_name,exchange_ticker,industry,is_provisional,green_bond_issuer,classification,bond_isin,issue_date,amount_currency,label,icma_structure,standard_claimed,external_reviewer,review_type,framework_url,allocation_report,sgx_recognised,profitability_flag,fy_minus1_net_income,fy_minus2_net_income,operating_cf_trend,traction_flag,traction_evidence,source_url_1,source_url_2,verified_by,access_date,notes
IDX:BBCA,Bank Central Asia,BBCA IJ,Banks,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~Rp57.5T,FY2024 ~Rp54.8T,,,,https://cbonds.com/bonds/501863/,https://digivestasi.com/news/detail/bisnis_ekonomi/2025-big-indonesian-banks-profit-report-bca-vs-bri-vs-mandiri-vs-bni-which-is-the-most-profitable,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Negative finding
IDX:BBNI,Bank Negara Indonesia,BBNI IJ,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics,second_party_opinion,https://www.bni.co.id/Portals/1/BNI/Perusahaan/ESG/Docs/BNI-Green-Bond-Framework-20220308.pdf,Y,,profitable,FY2025 ~Rp20.1T,FY2024 ~Rp21.7T,,,,https://www.bni.co.id/Portals/1/BNI/Perusahaan/ESG/Docs/Report-Green-Bond-BNI-2025-EN.pdf,https://www.marketscreener.com/quote/stock/PT-BANK-NEGARA-INDONESIA--6493911/news/PT-Bank-Negara-Indonesia-Persero-Tbk-BNI-Green-Bond-Report-2025-50284830/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,BNI Green Bond Report Jun 2025
IDX:BBRI,Bank Rakyat Indonesia,BBRI IJ,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics,second_party_opinion,https://bri.co.id/documents/20123/56999/BRI+Sustainability+Framework+Second+Party+Opinion.pdf,Y,,profitable,FY2025 ~Rp57.1T,FY2024 ~Rp60.2T,,,,https://bri.co.id/web/guest/api/files?path=%2Fsites%2Fdefault%2Ffiles%2Fdocuments%2FAnnual+Sustainability+Bond+Report+Review+BRI+2021.pdf,https://www.prnewswire.com/news-releases/bri-strengthens-commitment-to-sustainable-finance-with-new-green-bonds-301946738.html,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Only SOE green bond issuer 2024 (per press)
IDX:BMRI,Bank Mandiri,BMRI IJ,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics,second_party_opinion,https://www.bankmandiri.co.id/documents/20143/249042147/NEW+BMRI_Sustainable+Finance+Framework+Okt+2024.pdf,Y,,profitable,FY2025 ~Rp56.3T,FY2024 ~Rp55.8T,,,,https://www.bankmandiri.co.id/en/web/ir/sustainability-bond,https://www.sustainalytics.com/corporate-solutions/sustainable-finance-and-lending/published-projects/project/pt-bank-mandiri-(persero)-tbk.-(or-bank-mandiri-)/bank-mandiri-sustainability-bond-framework-second-party-opinion-(2021)/bank-mandiri-sustainability-bond-framework-second-party-opinion-(2021),"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Sustainability Bond Report Jan 2025
IDX:CPIN,Charoen Pokphand Indonesia,CPIN IJ,Food & Beverages,FALSE,N,none,,,,,,,,,,N,,profitable,FY2025 ~Rp5.64T,FY2024 ~Rp3.71T,,,,https://cp.co.id/wp-content/uploads/2026/04/Annual-Report-CPIN-2025.pdf,https://www.idnfinancials.com/news/62303/cpin-profit-up-52-to-idr-5-6-trillion-as-feed-segment-drives-growth,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY2025 +52%
KLSE:AMM,AMMB Holdings,AMM MK,Banks,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2026(Mar) ~RM2.10b,FY2025(Mar) ~RM2.00b,,,,https://www.ambank.com.my/announcements/2024/paramount-issues-its-first-sustainability-linked-sukuk-wakalah-with-ambank-islamic-berhad-and-aminvestment-bank-berhad,https://www.businesstoday.com.my/2026/05/28/ammb-fy26-net-profit-rises-to-rm2-1-billion-on-stronger-interest-income-trading-gains/,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Absence-of-evidence basis
KLSE:AXIATA,Axiata Group,AXIATA MK,Telco - Mobile,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 RM365m,FY2024 RM947m,,,,https://www.axiata.com/media/news/2026/axiata-posts-rm365-million-in-profits-for-fy25,https://www.malaymail.com/news/money/2020/05/11/axiata-secures-rm3.5b-islamic-sustainability-linked-syndicated-financing/1865104,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,FY25 PATAMI -61% partly on XLSmart merger effects; FY2023 was a loss year
KLSE:CDB,CelcomDigi Bhd,CDB MK,Telco - Mobile,FALSE,N,none,,,,,,,,,,unknown,,profitable,FY2025 ~RM1.51b,FY2024 ~RM1.31b,,,,https://corporate.celcomdigi.com/news/celcomdigi-delivers-resilient-fy2025-growth-driven-by-strong-execution-and-operational-efficiencies,https://www.bernama.com/en/news.php?id=2522759,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,
KLSE:CIMB,CIMB Group Holdings Bhd,CIMB MK,Banks,FALSE,Y,labelled_reviewed,,,,,,,Sustainalytics,second_party_opinion,https://www.cimb.com/content/dam/cimb/group/documents/sustainbility/sustainable-finance-framework.pdf,Y,,profitable,FY2025 ~RM7.85b,FY2024 ~RM7.73b,,,,https://www.sustainalytics.com/corporate-solutions/sustainable-finance-and-lending/published-projects/project/cimb/cimb-sdgs-bond-framework-second-party-opinion/cimb-sdgs-bond-second-party-opinion-pdf,https://www.cimb.com/content/dam/cimb/group/documents/sustainbility/our-publication/cimb-sustainability-sukuk-progress-report-2022-2023.pdf,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Sustainability Sukuk Progress Report 2022/23 published
KLSE:HLBK,Hong Leong Bank,HLBK MK,Banks,FALSE,Y,labelled_reviewed,,,,,,,RAM Sustainability,second_party_opinion,https://www.hlb.com.my/content/dam/hlb/my/docs/pdf/About-Us/Investor-Relations/Capital-and-Debt-Securities/hlb-green-bond-framework.pdf,unknown,,profitable,FY2025(Jun) ~RM4.27b,FY2024(Jun) ~RM4.20b,,,,https://www.ram.com.my/pressrelease/?prviewid=5959,https://www.hlb.com.my/en/personal-banking/about-us/investor-relations/capital-and-debt-securities.html,"Quill & Candle (ICMA-based process, >=2 sources per row)",2026-08-20,Allocation reporting likely inside sustainability report — verify
